Date,maj_clas,Air_Temp,Albedo,APCP,DLW,DSW,Emissiv,LAI,PRES,Sk_Temp,SPFH,U,V,Area,Obs
10/1/2002,8,267.2415427,0.345148883,3.976199675,199.8798094,101.7555517,250,0.0125,74522.64555,267.1088314,0.002996441,2.970673429,-0.829150684,333.15,9
10/2/2002,8,267.8930542,0.344520569,0,245.933401,78.59912945,248,0.0125,74804.23544,259.4856097,0.002830942,1.460148774,2.240163181,333.15,8.6
10/3/2002,8,267.2415427,0.345148883,3.976199675,199.8798094,101.7555517,250,0.0125,74522.64555,267.1088314,0.002996441,2.970673429,-0.829150684,333.15,9
10/4/2002,8,267.8930542,0.344520569,0,245.933401,78.59912945,248,0.0125,74804.23544,259.4856097,0.002830942,1.460148774,2.240163181,333.15,8.6
10/5/2002,8,269.8889196,0.343426221,1.502879101,262.7374239,57.53233451,248.5,0.0125,74821.61388,263.5881379,0.00329844,2.445033626,1.129846466,333.15,8.8
10/6/2002,8,271.334417,0.34050718,0,266.009289,74.92252191,249,0.0125,74808.21097,264.7318331,0.003457126,2.663307781,1.774888062,333.15,9
10/7/2002,8,269.7269874,0.338589498,1.368522093,232.6113118,86.81700385,249,0.0125,74672.11692,265.4838905,0.003322105,2.41020477,-2.861276434,333.15,9.4
10/8/2002,8,265.8829374,0.339248007,0,175.6840797,101.4938835,249,0.0125,75373.93074,262.8812491,0.00185132,-1.323824396,-0.421033276,333.15,9.6
10/9/2002,8,266.0042346,0.33814222,0,171.5476273,105.8000576,248,0.0125,75309.59293,264.1472543,0.00137348,0.188755601,0.634876849,333.15,9.6
10/10/2002,8,267.0273872,0.335644703,0,171.4452201,108.1340867,248,0.0125,74578.59085,264.0399462,0.001497817,0.332877484,1.287156129,333.15,9.38
10/11/2002,8,264.7663587,0.333431381,0,172.0951081,108.1822233,248,0.0125,74263.63564,261.4445127,0.001561532,-1.19289829,1.599896057,333.15,9
10/12/2002,8,267.1556902,0.332572277,0.4278311,243.2637672,76.55236838,249,0.0125,74250.35829,261.1551584,0.003078999,0.52336853,2.079134708,333.15,8.6
10/13/2002,8,269.3246201,0.332507266,0,240.4088647,97.68057567,248.75,0.0125,74404.13468,266.5820268,0.003630014,1.81208416,0.288651636,333.15,8.2
10/14/2002,8,270.4930463,0.332255335,0,239.1465887,92.91716389,248.5,0.0125,74812.68634,267.8050454,0.003900768,1.431885818,2.218818011,333.15,8.4
10/15/2002,8,271.9425824,0.332039007,0,271.3104087,75.05440771,248.25,0.0125,75023.31254,264.0136286,0.003908461,2.514979244,1.904774501,333.15,8.8
10/16/2002,8,273.0238924,0.330019599,0,269.4943338,101.2644449,248,0.0125,74675.45585,265.9946747,0.004038827,0.839467383,2.578926782,333.15,9
10/17/2002,8,269.9301624,0.329181476,0.864107498,234.2713727,96.83171929,248,0.0125,74671.20122,265.9519812,0.003402615,3.870377537,-2.696953015,333.15,9.4
10/18/2002,8,267.5385037,0.33041437,0,230.1485879,104.7845105,248,0.0125,75088.47649,259.122399,0.002382845,1.372256898,0.225983689,333.15,9
10/19/2002,8,267.7995002,0.329390776,0,203.3057772,111.4157406,250,0.0125,74997.68794,259.6864414,0.002610285,1.995225558,-1.467778333,333.15,8.6
10/20/2002,8,268.1989403,0.328342382,0,200.874883,117.333503,249,0.0125,74750.69658,260.9401506,0.002677959,2.478526908,-0.661604296,333.15,8.4
10/21/2002,8,268.7048744,0.327114701,0,188.843293,119.9298642,250,0.0125,74679.3706,262.3247846,0.002810421,1.582565603,1.753958759,333.15,8.6
10/22/2002,8,269.6853847,0.325325625,0,200.0067208,120.5124698,248,0.0125,74301.8826,264.0223179,0.0032607,2.595641433,1.574496185,333.15,8.8
10/23/2002,8,273.103371,0.323621739,0,244.9199653,108.0805918,248.5,0.0125,74380.67978,265.3813636,0.004596553,3.416746692,1.519593753,333.15,9
10/24/2002,8,276.0511078,0.322832113,0,291.935617,104.3028726,249,0.0125,74749.34421,268.6486092,0.00569984,3.964291486,2.008853197,333.15,9.2
10/25/2002,8,275.950468,0.328655261,1.487332076,306.1135602,89.7851341,248,0.0125,74724.40259,270.8869432,0.005504342,2.84288232,1.353822797,333.15,9.4
10/26/2002,8,273.6202136,0.332890862,0,238.2162623,116.4698914,249,0.0125,74627.94306,265.4352271,0.004593298,1.662404055,0.03322137,333.15,9
10/27/2002,8,274.3508278,0.332168629,0.663339741,272.0427664,84.491428,248.6666667,0.0125,74892.99664,270.0761668,0.005265611,2.469105923,0.625535838,333.15,9.2
10/28/2002,8,276.7895435,0.333746019,0.131094052,279.8384879,106.9172601,248.3333333,0.0125,74924.3794,271.3608894,0.006090715,2.441978603,2.368434136,333.15,9.4
10/29/2002,8,278.3291308,0.332141955,5.437044227,323.5237012,73.34315528,248,0.0125,74378.45409,268.201107,0.00583231,3.471857057,2.671337212,333.15,9.6
10/30/2002,8,276.5655751,0.332030705,0.252783113,260.8300663,121.0730504,248,0.0125,74459.63132,272.1606566,0.005985668,2.940427107,-1.099424201,333.15,9.8
10/31/2002,8,273.8153592,0.33055189,0,242.408201,118.7088469,248,0.0125,74675.15595,262.7472776,0.00453674,1.800679809,1.459357028,333.15,10
11/1/2002,8,277.0287469,0.332032641,0,315.2691026,76.93532584,248,0.0125,74573.96993,267.4152775,0.006010668,5.775056068,2.246705088,333.15,10.5
11/2/2002,8,278.7383839,0.33734208,0,301.0494047,100.4793921,248,0.0125,74829.73209,274.0963713,0.006765283,4.453494948,3.10661393,333.15,11
11/3/2002,8,278.1394475,0.332547022,0.73800385,282.4792988,115.3162605,248,0.0125,73960.70537,271.5134424,0.004985988,3.803654887,2.574688138,333.15,12
11/4/2002,8,271.2331774,0.341081783,14.45470271,264.8972048,118.4453632,248,0.0125,73387.90147,270.7236118,0.00393658,3.278271002,-6.581534007,333.15,13
